 	assay	results	details	details2	outlierDruggableGroup	Activated GeneSet Lead for CKCC paper	Upoutlier support	Pathway support	Other support	comment
TH03_0016_S01	druggableUpOutlier	FGFR1	pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FGFR1	PID_FGF_PATHWAY (pd_up (4/55))		
TH03_0016_S01	druggableUpOutlier	IL6	pc		JAK/STAT	JAK/STAT	IL6	PID_IL6_7_PATHWAY (pc_up (3/47) and pd_up (5/47))		
TH03_0016_S01	geneSets_priority1	HALLMARK_TNFA_SIGNALING_VIA_NFKB (comm_up (6/200) and pc_up (11/200) and pd_up (32/200))	druggable: IL6 (pc)	overlap_genes_in_pc_up CCL2,CCL4,CD83,EGR2,EGR3,FJX1,GADD45B,IL6,KDM6B,NR4A2,NR4A3 and pd_up ATF3,B4GALT1,BTG2,CCL2,CCNL1,CD83,FOSB,FOSL2,GADD45B,GPR183,HBEGF,ICAM1,IER3,IL6ST,JUNB,KDM6B,KLF10,KLF2,KLF4,KLF6,KLF9,MAFF,MCL1,NFE2L2,NR4A1,NR4A2,NR4A3,PDLIM5,PPP1R15A,TGIF1,TRIB1,ZFP36						
TH03_0016_S01	geneSets_priority1	KEGG_FOCAL_ADHESION (pd_up (11/201))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up LAMA2,RAP1B and pd_up COL1A2,COMP,CTNNB1,ERBB2,FLNB,ITGA1,LAMA2,LAMB2,PTEN,RAP1B,THBS4						
TH03_0016_S01	geneSets_priority1	PID_IL6_7_PATHWAY (pc_up (3/47) and pd_up (5/47))	druggable: IL6 (pc)	overlap_genes_in_pc_up IL6,MAP2K6,MITF and pd_up IL6ST,JUNB,MAP2K6,MCL1,MITF						
TH03_0016_S01	geneSets_priority1	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION (pc_up (8/267))	druggable: IL6 (pc)	overlap_genes_in_pc_up CCL2,CCL3,CCL3L3,CCL4,CCL4L2,GDF5,IL6,TNFRSF11B and pd_up CCL2,CCL4L2,GDF5,IL6ST,TGFB3,TNFRSF11B						
TH03_0016_S01	geneSets_priority1	KEGG_MAPK_SIGNALING_PATHWAY (pd_up (11/267))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up GADD45B,MAP2K6,RAP1B and pd_up FGFR1,FLNB,GADD45B,JUND,MAP2K6,MAX,NFATC4,NR4A1,RAP1B,RRAS2,TGFB3						
TH03_0016_S01	geneSets_priority1	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY (pc_up (4/102))	druggable: IL6 (pc)	overlap_genes_in_pc_up CCL3,CCL4,IL6,MAP2K6 and pd_up MAP2K6						
TH03_0016_S01	geneSets_priority1	PID_A6B1_A6B4_INTEGRIN_PATHWAY (pd_up (6/46))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up LAMA2 and pd_up CDH1,ERBB2,LAMA2,LAMB2,PMP22,SFN						
TH03_0016_S01	geneSets_priority1	PID_AMB2_NEUTROPHILS_PATHWAY (pc_up (3/41))	druggable: IL6 (pc)	overlap_genes_in_pc_up IL6,JAM2,RAP1B and pd_up ICAM1,RAP1B						
TH03_0016_S01	geneSets_priority1	PID_AP1_PATHWAY (pd_up (10/70))	druggable: IL6 (pc)	overlap_genes_in_pc_up CCL2,IL6,PENK and pd_up ATF3,CCL2,COL1A2,CTNNB1,FOSB,FOSL2,JUNB,JUND,PENK,PTEN						
TH03_0016_S01	geneSets_priority1	PID_FGF_PATHWAY (pd_up (4/55))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up IL17RD,SPRY2 and pd_up CDH1,FGFR1,IL17RD,SDC2						
TH03_0016_S01	geneSets_priority1	PID_FRA_PATHWAY (pd_up (5/37))	druggable: IL6 (pc)	overlap_genes_in_pc_up CCL2,IL6 and pd_up CCL2,COL1A2,FOSL2,JUNB,JUND						
TH03_0016_S01	geneSets_priority1	PID_MYC_REPRESS_PATHWAY (pd_up (5/63))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up NA and pd_up ALDH9A1,COL1A2,ERBB2,MAX,ZFP36L1						
TH03_0016_S01	geneSets_priority1	REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING (pd_up (4/44))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up NA and pd_up ERBB2,HBEGF,NR4A1,PTEN						
TH03_0016_S01	geneSets_broadCancer	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION (comm_up (8/200) and pc_up (10/200) and pd_up (22/200))	druggable: IL6 (pc)	overlap_genes_in_pc_up ABI3BP,GADD45B,IL6,LAMA2,LOX,MSX1,SCG2,SLIT2,TGFBR3,TNFRSF11B and pd_up ABI3BP,CD59,COL12A1,COL1A2,COL8A2,COMP,FBLN5,FBN1,FSTL1,FUCA1,GADD45B,LAMA2,LOX,LOXL1,MSX1,NOTCH2,PMP22,PRRX1,SLIT2,SLIT3,TGFBR3,TNFRSF11B						
TH03_0016_S01	geneSets_broadCancer	NABA_MATRISOME (comm_up (17/1028) and pc_up (25/1028) and pd_up (50/1028))	druggable: IL6 (pc)	overlap_genes_in_pc_up ABI3BP,C1QL1,C1QTNF4,CCL2,CCL3,CCL3L3,CCL4,CCL4L2,COL26A1,CRISPLD1,EFEMP1,GDF5,IL6,ISM2,KAZALD1,LAMA2,LOX,NOV,NTN1,RSPO2,S100B,SERPINF1,SERPINI1,SLIT2,WFIKKN2,WIF1 and pd_up ABI3BP,ADAMTS1,ANXA11,ANXA4,BMP4,C1QTNF4,CCL2,CCL4L2,COL12A1,COL14A1,COL1A2,COL26A1,COL8A1,COL8A2,COMP,CTSF,CTSH,CTSV,EFEMP1,FBLN5,FBN1,FSTL1,GDF5,GPC3,GPC4,HBEGF,ISM2,KAZALD1,LAMA2,LAMB2,LOX,LOXL1,LTBP1,LTBP3,MFAP4,MMP15,MUC1,NOV,PCSK6,PLXDC1,PLXDC2,RSPO2,SDC2,SEMA3C,SERPINF1,SERPINI1,SLIT2,SLIT3,TGFB3,THBS4,WFIKKN2,WIF1						
TH03_0016_S01	geneSets_broadCancer	HALLMARK_APOPTOSIS (pc_up (5/161) and pd_up (13/161))	druggable: ERBB2 (pd), IL6 (pc)	overlap_genes_in_pc_up EGR3,FEZ1,GADD45B,IL6,TGFBR3 and pd_up APP,ATF3,BTG2,CTNNB1,ERBB2,ETF1,GADD45B,IER3,MCL1,NEDD9,PDCD4,PPT1,TGFBR3						
TH03_0016_S01	geneSets_broadCancer	NABA_MATRISOME_ASSOCIATED (comm_up (11/753) and pc_up (17/753) and pd_up (30/753))	druggable: IL6 (pc)	overlap_genes_in_pc_up C1QL1,C1QTNF4,CCL2,CCL3,CCL3L3,CCL4,CCL4L2,GDF5,IL6,ISM2,KAZALD1,LOX,S100B,SERPINF1,SERPINI1,WFIKKN2,WIF1 and pd_up ADAMTS1,ANXA11,ANXA4,BMP4,C1QTNF4,CCL2,CCL4L2,CTSF,CTSH,CTSV,FSTL1,GDF5,GPC3,GPC4,HBEGF,ISM2,KAZALD1,LOX,LOXL1,MMP15,MUC1,PCSK6,PLXDC1,PLXDC2,SDC2,SEMA3C,SERPINF1,SERPINI1,TGFB3,WFIKKN2,WIF1						
TH03_0016_S01	geneSets_broadCancer	REACTOME_IMMUNE_SYSTEM (pd_up (19/933))	druggable: IL6 (pc)	overlap_genes_in_pc_up IL6,MAP2K6,RAP1B,S100B and pd_up APP,CD55,CDH1,CFH,CTSF,CTSH,EIF4E2,FLNB,ICAM1,IL6ST,MAP2K6,NR4A1,ORAI1,OSBPL1A,PTEN,RAP1B,TPR,UBE2D3,UBE3A						
TH03_0016_S01	geneSets_broadCancer	BIOCARTA_ERYTH_PATHWAY (pc_up (2/15))	druggable: IL6 (pc)	overlap_genes_in_pc_up CCL3,IL6 and pd_up TGFB3						
TH03_0016_S01	geneSets_broadCancer	KEGG_ENDOMETRIAL_CANCER (pd_up (5/52))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up NA and pd_up CDH1,CTNNA1,CTNNB1,ERBB2,PTEN						
TH03_0016_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pd_up (13/328))	druggable: ERBB2 (pd), FGFR1 (pd), IL6 (pc)	overlap_genes_in_pc_up IL6,LAMA2,MITF and pd_up BMP4,CDH1,CTNNA1,CTNNB1,ERBB2,FGFR1,LAMA2,LAMB2,MAX,MITF,PTEN,TGFB3,TPR						
TH03_0016_S01	geneSets_broadCancer	PID_GLYPICAN_1PATHWAY (pd_up (5/27))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up PRNP,SLIT2 and pd_up APP,FGFR1,PRNP,SLIT2,TGFB3						
TH03_0016_S01	geneSets_nonCancer	HALLMARK_UV_RESPONSE_UP (pc_up (5/158) and pd_up (15/158))	druggable: IL6 (pc)	overlap_genes_in_pc_up CCK,CDO1,IL6,LHX2,MSX1 and pd_up AMD1,ATF3,BTG2,CCK,CDO1,CHKA,CYB5B,FOSB,ICAM1,IL6ST,JUNB,MSX1,NR4A1,PPT1,RRAD						
TH03_0016_S01	geneSets_nonCancer	NABA_SECRETED_FACTORS (comm_up (6/344) and pc_up (11/344) and pd_up (10/344))	druggable: IL6 (pc)	overlap_genes_in_pc_up CCL2,CCL3,CCL3L3,CCL4,CCL4L2,GDF5,IL6,ISM2,S100B,WFIKKN2,WIF1 and pd_up BMP4,CCL2,CCL4L2,FSTL1,GDF5,HBEGF,ISM2,TGFB3,WFIKKN2,WIF1						
TH03_0016_S01	geneSets_nonCancer	HALLMARK_COMPLEMENT (pd_up (8/200))	druggable: IL6 (pc)	overlap_genes_in_pc_up IL6 and pd_up CD55,CD59,CFH,CP,CTSH,MAFF,MMP15,PIM1						
TH03_0016_S01	geneSets_nonCancer	HALLMARK_HYPOXIA (pd_up (19/200))	druggable: IL6 (pc)	overlap_genes_in_pc_up CHST3,IL6,LOX and pd_up ATF3,CHST3,CITED2,CP,EXT1,FOSL2,GPC3,GPC4,HEXA,HK1,IER3,KLF6,LOX,MAFF,PIM1,PPP1R15A,SDC2,TGFB3,ZFP36						
TH03_0016_S01	geneSets_nonCancer	HALLMARK_INFLAMMATORY_RESPONSE (pc_up (5/200) and pd_up (8/200))	druggable: IL6 (pc)	overlap_genes_in_pc_up C5AR1,CCL2,FPR1,IL6,LPAR1 and pd_up BTG2,CCL2,CD55,GPC3,GPR183,HBEGF,ICAM1,KLF6						
TH03_0016_S01	geneSets_nonCancer	REACTOME_DEVELOPMENTAL_BIOLOGY (pd_up (14/396))	druggable: ERBB2 (pd), FGFR1 (pd)	overlap_genes_in_pc_up EGR2,MAP2K6,NTN1,PRNP,SLIT2 and pd_up BOC,COL1A2,CTNNA1,CTNNB1,ERBB2,FGFR1,ITGA1,KLF4,MAP2K6,PCSK6,PRNP,ROBO3,SLIT2,SLIT3						
TH03_0016_S01	geneSets_nonCancer	HALLMARK_ANGIOGENESIS (pd_up (5/36))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up MSX1 and pd_up APP,FGFR1,FSTL1,LRPAP1,MSX1						
TH03_0016_S01	geneSets_nonCancer	HALLMARK_UV_RESPONSE_DN (pd_up (14/144))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up EFEMP1,LPAR1,TFPI,TGFBR3 and pd_up ANXA4,CITED2,COL1A2,EFEMP1,ERBB2,FBLN5,LTBP1,NOTCH2,PDLIM5,PMP22,PTEN,SDC2,TFPI,TGFBR3						
TH03_0016_S01	geneSets_nonCancer	KEGG_ADHERENS_JUNCTION (pd_up (5/75))	druggable: ERBB2 (pd), FGFR1 (pd)	overlap_genes_in_pc_up NA and pd_up CDH1,CTNNA1,CTNNB1,ERBB2,FGFR1						
TH03_0016_S01		KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY (pc_up (3/56))	druggable: IL6 (pc)	overlap_genes_in_pc_up CCL4,CCL4L2,IL6 and pd_up CCL4L2,IL33						
TH03_0017_S01	new sample									
TH03_0017_S01	Disease	hepatoblastoma								
TH03_0017_S01	druggableUpOutlier	MDM2	pc, pd		BCL2/MDM2	BCL2/MDM2	MDM2	KEGG_P53_SIGNALING_PATHWAY (pd_up (4/69))		
TH03_0017_S01	geneSets_priority1	HALLMARK_P53_PATHWAY (pd_up (9/200))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up EPHX1,MDM2 and pd_up BTG2,CDKN1A,DDB2,DDIT3,GADD45A,ISCU,MDM2,RGS16,RRAD						
TH03_0017_S01	geneSets_priority1	REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE (pd_up (2/57))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2,PSMD4 and pd_up CDKN1A,MDM2						
TH03_0017_S01	geneSets_priority1	BIOCARTA_P53_PATHWAY (pd_up (3/16))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,GADD45A,MDM2						
TH03_0017_S01	geneSets_priority1	BIOCARTA_P53HYPOXIA_PATHWAY (pd_up (3/23))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,GADD45A,MDM2						
TH03_0017_S01	geneSets_priority1	KEGG_P53_SIGNALING_PATHWAY (pd_up (4/69))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,DDB2,GADD45A,MDM2						
TH03_0017_S01	geneSets_priority1	PID_P53_DOWNSTREAM_PATHWAY (pd_up (8/137))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up AFP,DKK1,MDM2 and pd_up BTG2,CDKN1A,DDB2,DKK1,GADD45A,GDF15,MDM2,ZNF385A						
TH03_0017_S01	geneSets_priority1	PID_P73PATHWAY (pd_up (3/79))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up AFP,MDM2,SERPINA1 and pd_up CDKN1A,GDF15,MDM2						
TH03_0017_S01	geneSets_priority1	PID_TAP63_PATHWAY (pd_up (4/54))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,GADD45A,GDF15,MDM2						
TH03_0017_S01	geneSets_priority1	REACTOME_GAB1_SIGNALOSOME (pd_up (2/38))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2						
TH03_0017_S01	geneSets_priority1	REACTOME_PI_3K_CASCADE (pd_up (2/56))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2						
TH03_0017_S01	geneSets_priority1	REACTOME_PI3K_AKT_ACTIVATION (pd_up (2/38))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2						
TH03_0017_S01	geneSets_priority1	REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING (pd_up (2/44))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2						
TH03_0017_S01	geneSets_priority1	REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING (pd_up (2/38))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2						
TH03_0017_S01	geneSets_priority1	REACTOME_PIP3_ACTIVATES_AKT_SIGNALING (pd_up (2/29))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2						
TH03_0017_S01	geneSets_priority1	REACTOME_SIGNALING_BY_ERBB4 (pd_up (3/90))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2,NCSTN						
TH03_0017_S01	geneSets_priority1	REACTOME_SIGNALING_BY_PDGF (pd_up (3/122))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2,PLG and pd_up CDKN1A,COL9A3,MDM2						
TH03_0017_S01	geneSets_priority1	REACTOME_SIGNALLING_BY_NGF (pd_up (3/217))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2,NCSTN						
TH03_0017_S01	geneSets_priority1	SA_G1_AND_S_PHASES (pd_up (2/15))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2						
TH03_0017_S01	geneSets_broadCancer	KEGG_BLADDER_CANCER (pd_up (2/42))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2						
TH03_0017_S01	geneSets_broadCancer	KEGG_CELL_CYCLE (pd_up (4/128))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,CDKN1C,GADD45A,MDM2						
TH03_0017_S01		BIOCARTA_ATM_PATHWAY (pd_up (3/20))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,GADD45A,MDM2						
TH03_0017_S01		BIOCARTA_G2_PATHWAY (pd_up (3/24))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,GADD45A,MDM2						
TH03_0017_S01		REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL (pd_up (2/12))	druggable: MDM2 (pc and pd)	overlap_genes_in_pc_up MDM2 and pd_up CDKN1A,MDM2						
TH03_0018_S01	new sample									
TH03_0018_S01	Disease	sarcoma								
TH03_0018_S01	druggableUpOutlier	FLT4	pc, pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FLT4	HALLMARK_KRAS_SIGNALING_UP (comm_up (5/200) and pc_up (6/200) and pd_up (6/200))		
TH03_0018_S01	geneSets_priority1	HALLMARK_KRAS_SIGNALING_UP (comm_up (5/200) and pc_up (6/200) and pd_up (6/200))	druggable: FLT4 (pc and pd)	overlap_genes_in_pc_up ETS1,ETV1,ETV5,FLT4,IGF2,LIF and pd_up ETS1,ETV1,ETV4,ETV5,FLT4,LIF						
TH03_0018_S01	geneSets_priority1	KEGG_FOCAL_ADHESION (pc_up (5/201))	druggable: FLT4 (pc and pd)	overlap_genes_in_pc_up COL2A1,COL5A3,FLT4,SHC3,SHC4 and pd_up COL2A1,FLT4,SHC3,SHC4						
TH03_0018_S01	geneSets_priority1	BIOCARTA_NO1_PATHWAY (pd_up (3/33))	druggable: FLT4 (pc and pd)	overlap_genes_in_pc_up FLT4 and pd_up CALM2,FLT4,PRKAR2B						
TH03_0018_S02	new sample									
TH03_0018_S02	Disease	sarcoma								
TH03_0018_S02	druggableUpOutlier	No druggableUpOutliers								
TH03_0018_S02		no enriched druggable geneSets								
TH03_0019_S01	new sample									
TH03_0019_S01	Disease	fibrolamellar hepatocellular carcinoma								
TH03_0019_S01	druggableUpOutlier	FLT1	pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FLT1	PID_VEGF_VEGFR_PATHWAY (pd_up (2/10))		
TH03_0019_S01	druggableUpOutlier	KDR	pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	KDR	PID_VEGF_VEGFR_PATHWAY (pd_up (2/10))		
TH03_0019_S01	geneSets_priority1	PID_INTEGRIN3_PATHWAY (pc_up (4/43))	druggable: KDR (pd)	overlap_genes_in_pc_up FGA,FGB,FGG,VTN and pd_up KDR						
TH03_0019_S01		PID_VEGF_VEGFR_PATHWAY (pd_up (2/10))	druggable: FLT1 (pd), KDR (pd)	overlap_genes_in_pc_up NA and pd_up FLT1,KDR						
TH03_0019_S01		REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS (pd_up (2/10))	druggable: FLT1 (pd), KDR (pd)	overlap_genes_in_pc_up NA and pd_up FLT1,KDR						
TH03_0020_S01	new sample									
TH03_0020_S01	Disease	medulloblastoma								
TH03_0020_S01	druggableUpOutlier	PTCH1	pc		Sonic Hedgehog (SHH)	Sonic Hedgehog (SHH)	PTCH1	PID_HEDGEHOG_GLI_PATHWAY (pc_up (3/48))		
TH03_0020_S01	geneSets_priority1	HALLMARK_HEDGEHOG_SIGNALING (pc_up (6/36))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up CDK5R1,CNTFR,CRMP1,L1CAM,PTCH1,SLIT1 and pd_up NA						
TH03_0020_S01	geneSets_priority1	PID_HEDGEHOG_GLI_PATHWAY (pc_up (3/48))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up GLI2,GNAO1,PTCH1 and pd_up GLI2,HDAC2						
TH03_0020_S01	geneSets_priority1	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS (pc_up (4/88))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up GNAS,GNG13,GNG3,PTCH1 and pd_up GNAS,GNG13						
TH03_0022_S01	new sample									
TH03_0022_S01	Disease	osteosarcoma								
TH03_0022_S01	druggableUpOutlier	FGFR1	pc		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FGFR1	PID_FGF_PATHWAY (pc_up (4/55))		
TH03_0022_S01	geneSets_priority1	KEGG_MAPK_SIGNALING_PATHWAY (comm_up (4/267) and pc_up (6/267) and pd_up (7/267))	druggable: FGFR1 (pc)	overlap_genes_in_pc_up CACNA2D4,FGFR1,GRB2,HSPA1A,HSPA6,MAP4K4 and pd_up DUSP10,GRB2,HSPA1A,HSPA1B,HSPA6,MAP4K4,PLA2G2A						
TH03_0022_S01	geneSets_priority1	PID_FGF_PATHWAY (pc_up (4/55))	druggable: FGFR1 (pc)	overlap_genes_in_pc_up FGFR1,GRB2,MMP9,RUNX2 and pd_up GRB2						
TH03_0022_S01	geneSets_priority1	PID_SYNDECAN_4_PATHWAY (pc_up (2/32))	druggable: FGFR1 (pc)	overlap_genes_in_pc_up FGFR1,MMP9 and pd_up NA						
TH03_0022_S01	geneSets_priority1	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH (pc_up (3/64))	druggable: FGFR1 (pc)	overlap_genes_in_pc_up COL6A1,FGFR1,GRB2 and pd_up COL9A3,GRB2						
TH03_0022_S01	geneSets_priority1	REACTOME_PI3K_CASCADE (pc_up (3/71))	druggable: FGFR1 (pc)	overlap_genes_in_pc_up FGFR1,GRB2,RPS6KB1 and pd_up GRB2,RPS6KB1						
TH03_0022_S01	geneSets_priority1	REACTOME_SHC_MEDIATED_CASCADE (pc_up (2/28))	druggable: FGFR1 (pc)	overlap_genes_in_pc_up FGFR1,GRB2 and pd_up GRB2						
TH03_0022_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR1_MUTANTS (pc_up (2/30))	druggable: FGFR1 (pc)	overlap_genes_in_pc_up FGFR1,GRB2 and pd_up GRB2						
TH03_0022_S01	geneSets_priority1	REACTOME_SIGNALING_BY_INSULIN_RECEPTOR (pc_up (6/108))	druggable: FGFR1 (pc)	overlap_genes_in_pc_up ATP6V0D2,ATP6V1B2,FGFR1,GRB2,RPS6KB1,TCIRG1 and pd_up GRB2,RPS6KB1						
TH03_0022_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pc_up (5/328))	druggable: FGFR1 (pc)	overlap_genes_in_pc_up FGFR1,GRB2,MMP9,PPARD,WNT5B and pd_up GRB2,PPARD,WNT7B						
TH03_0022_S01	geneSets_broadCancer	REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE (pc_up (3/87))	druggable: FGFR1 (pc)	overlap_genes_in_pc_up FGFR1,GRB2,RPS6KB1 and pd_up GRB2,RPS6KB1						
TH03_0024_S01	new sample									
TH03_0024_S01	Disease	adrenocortical carcinoma								
TH03_0024_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0024_S01		no enriched druggable geneSets								
TH03_0025_S02	new sample									
TH03_0025_S02	Disease	osteosarcoma								
TH03_0025_S02	druggableUpOutlier	No druggableUpOutliers								
TH03_0025_S02		no enriched druggable geneSets								
TH03_0027_S01	new sample									
TH03_0027_S01	Disease	osteosarcoma								
TH03_0027_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0027_S01		no enriched druggable geneSets								
TH03_0029_S01	new sample									
TH03_0029_S01	Disease	osteosarcoma								
TH03_0029_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0029_S01		no enriched druggable geneSets								
TH03_0038_S01	new sample									
TH03_0038_S01	Disease	osteosarcoma								
TH03_0038_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0038_S01		no enriched druggable geneSets								
TH03_0103_S01	new sample									
TH03_0103_S01	Disease	rhabdomyosarcoma								
TH03_0103_S01	druggableUpOutlier	MAP2K2	pc, pd		RAS/RAF/MEK	RAS/RAF/MEK	MAP2K2	BIOCARTA_BARR_MAPK_PATHWAY (pd_up (2/12))		
TH03_0103_S01	geneSets_priority1	REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK (pc_up (4/205) and pd_up (4/205))	druggable: MAP2K2 (pc and pd)	overlap_genes_in_pc_up EDN3,KISS1,MAP2K2,OXTR and pd_up EDN2,KISS1,MAP2K2,OXTR						
TH03_0103_S01	geneSets_priority1	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH (pc_up (3/64) and pd_up (3/64))	druggable: MAP2K2 (pc and pd)	overlap_genes_in_pc_up COL2A1,COL9A3,MAP2K2 and pd_up COL1A2,COL2A1,MAP2K2						
TH03_0103_S01	geneSets_priority1	BIOCARTA_BARR_MAPK_PATHWAY (pd_up (2/12))	druggable: MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K2 and pd_up GNAS,MAP2K2						
TH03_0103_S01	geneSets_priority1	BIOCARTA_BARRESTIN_SRC_PATHWAY (pd_up (2/15))	druggable: MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K2 and pd_up GNAS,MAP2K2						
TH03_0103_S01	geneSets_broadCancer	PID_ENDOTHELIN_PATHWAY (pd_up (3/63))	druggable: MAP2K2 (pc and pd)	overlap_genes_in_pc_up EDN3,MAP2K2 and pd_up COL1A2,EDN2,MAP2K2						
TH03_0103_S01	geneSets_nonCancer	KEGG_GAP_JUNCTION (pd_up (3/90))	druggable: MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K2,TUBA8 and pd_up GNAS,MAP2K2,TUBA8						
TH03_0104_S01	new sample									
TH03_0104_S01	Disease	hepatoblastoma								
TH03_0104_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0104_S01		no enriched druggable geneSets								
TH03_0105_S01	new sample									
TH03_0105_S01	Disease	rhabdomyosarcoma								
TH03_0105_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0105_S01		no enriched druggable geneSets								
TH03_0106_S01	new sample									
TH03_0106_S01	Disease	sarcoma								
TH03_0106_S01	druggableUpOutlier	JAK1	pc		JAK/STAT	JAK/STAT	JAK1	None		
TH03_0107_S01	new sample									
TH03_0107_S01	Disease	hepatoblastoma								
TH03_0107_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0107_S01		no enriched druggable geneSets								
TH03_0112_S01	new sample									
TH03_0112_S01	Disease	sarcoma								
TH03_0112_S01	druggableUpOutlier	ERBB2	pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	ERBB2	REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING (pd_up (3/44))		
TH03_0112_S01	druggableUpOutlier	MLST8	pd		PI3K/AKT/mTOR	PI3K/AKT/mTOR	MLST8	REACTOME_PI3K_AKT_ACTIVATION (pd_up (3/38))		
TH03_0112_S01	geneSets_priority1	REACTOME_AXON_GUIDANCE (pc_up (7/251) and pd_up (7/251))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up CACNA1H,CNTNAP1,COL2A1,COL9A3,KCNQ2,NTN1,ROBO2 and pd_up COL2A1,COL9A2,COL9A3,ERBB2,KCNQ2,ROBO2,SEMA7A						
